TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Offence Against a Person,2021,6,29,0,0,OFFSET TO PROTECT PRIVACY,West Point Grey,0.0,0.0
Offence Against a Person,2021,9,13,0,0,OFFSET TO PROTECT PRIVACY,West Point Grey,0.0,0.0
Offence Against a Person,2021,11,18,0,0,OFFSET TO PROTECT PRIVACY,West Point Grey,0.0,0.0
Offence Against a Person,2021,9,11,0,0,OFFSET TO PROTECT PRIVACY,West Point Grey,0.0,0.0
Offence Against a Person,2021,7,24,0,0,OFFSET TO PROTECT PRIVACY,West Point Grey,0.0,0.0
Other Theft,2021,5,11,19,0,15XX DISCOVERY ST,West Point Grey,485257.0477,5457878.2663
Other Theft,2021,8,13,10,0,15XX DISCOVERY ST,West Point Grey,485257.0477,5457878.2663
Other Theft,2021,4,30,13,5,20XX ALMA ST,West Point Grey,486484.4111,5457255.4503
Other Theft,2021,6,23,11,35,20XX ALMA ST,West Point Grey,486484.4111,5457255.4503
Other Theft,2021,7,15,18,12,20XX ALMA ST,West Point Grey,486484.4111,5457255.4503
Other Theft,2021,9,12,12,15,20XX ALMA ST,West Point Grey,486484.4111,5457255.4503
Other Theft,2021,10,6,16,10,20XX ALMA ST,West Point Grey,486484.4111,5457255.4503
Other Theft,2021,1,15,13,59,20XX ALMA ST,West Point Grey,486484.4547,5457256.7299
Other Theft,2021,2,11,10,2,20XX ALMA ST,West Point Grey,486484.4547,5457256.7299
Other Theft,2021,4,5,8,51,20XX ALMA ST,West Point Grey,486484.4547,5457256.7299
Other Theft,2021,6,9,17,12,20XX ALMA ST,West Point Grey,486484.4547,5457256.7299
Other Theft,2021,6,16,19,7,20XX ALMA ST,West Point Grey,486484.4547,5457256.7299
Other Theft,2021,7,10,12,14,20XX ALMA ST,West Point Grey,486484.4547,5457256.7299
Other Theft,2021,8,29,21,30,20XX ALMA ST,West Point Grey,486484.4547,5457256.7299
Other Theft,2021,10,2,17,46,20XX ALMA ST,West Point Grey,486484.4547,5457256.7299
Other Theft,2021,12,10,15,11,20XX ALMA ST,West Point Grey,486484.4547,5457256.7299
Other Theft,2021,7,27,22,0,20XX HIGHBURY ST,West Point Grey,486353.9527,5457305.3113
Other Theft,2021,7,31,0,30,22XX TRIMBLE ST,West Point Grey,485022.992,5457200.45
Other Theft,2021,2,22,10,28,25XX WALLACE CRES,West Point Grey,486055.8017,5456834.7949
Other Theft,2021,3,20,21,0,25XX WALLACE CRES,West Point Grey,486079.2139,5456821.758
Other Theft,2021,1,4,14,3,25XX WALLACE CRES,West Point Grey,486105.4018,5456802.3834
Other Theft,2021,2,14,15,30,30XX ALMA ST,West Point Grey,486457.6294,5456263.0727
Other Theft,2021,5,13,12,19,37XX W 10TH AVE,West Point Grey,486358.4891,5456772.7347
Other Theft,2021,11,23,17,0,37XX W 16TH AVE,West Point Grey,486369.5292,5456161.7271
Other Theft,2021,12,3,0,0,37XX W 16TH AVE,West Point Grey,486417.6868,5456161.1434
Other Theft,2021,5,18,12,0,37XX W 1ST AVE,West Point Grey,486386.974,5457632.8383
Other Theft,2021,11,4,23,14,37XX W 4TH AVE,West Point Grey,486419.4869,5457329.963
Other Theft,2021,5,3,13,0,37XX W 7TH AVE,West Point Grey,486468.4682,5457055.3486
Other Theft,2021,5,7,8,25,37XX W 7TH AVE,West Point Grey,486468.4682,5457055.3486
Other Theft,2021,4,11,10,30,37XX W BROADWAY AVE,West Point Grey,486446.5702,5456857.4282
Other Theft,2021,9,27,12,54,37XX W BROADWAY AVE,West Point Grey,486446.5702,5456857.4282
Other Theft,2021,12,16,13,30,38XX POINT GREY RD,West Point Grey,486252.4818,5457691.0472
Other Theft,2021,4,14,12,0,38XX W 15TH AVE,West Point Grey,486281.7139,5456266.3955
Other Theft,2021,9,26,18,30,38XX W 4TH AVE,West Point Grey,486343.3342,5457331.789
Other Theft,2021,6,19,22,15,39XX POINT GREY RD,West Point Grey,486117.3859,5457634.1124
Other Theft,2021,2,23,11,54,39XX W 16TH AVE,West Point Grey,486008.1785,5456173.8565
Other Theft,2021,2,25,12,0,39XX W 16TH AVE,West Point Grey,486008.1785,5456173.8565
Other Theft,2021,2,15,14,43,40XX W 13TH AVE,West Point Grey,485790.8343,5456481.8267
Other Theft,2021,3,19,20,43,40XX W 13TH AVE,West Point Grey,485790.8343,5456481.8267
Other Theft,2021,2,16,15,30,41XX W 10TH AVE,West Point Grey,485597.4888,5456790.119
Other Theft,2021,7,30,6,45,41XX W 8TH AVE,West Point Grey,485688.261,5456979.5162
Other Theft,2021,8,25,11,0,42XX W 15TH AVE,West Point Grey,485226.7034,5456284.4067
Other Theft,2021,2,11,11,15,43XX W 10TH AVE,West Point Grey,485047.0224,5456804.7646
Other Theft,2021,1,30,0,0,43XX W 10TH AVE,West Point Grey,485094.0424,5456794.3865
Other Theft,2021,11,1,0,0,43XX W 10TH AVE,West Point Grey,485107.6277,5456803.178
Other Theft,2021,3,17,3,12,43XX W 11TH AVE,West Point Grey,485173.096,5456697.337
Other Theft,2021,6,28,17,13,43XX W 14TH AVE,West Point Grey,485158.3936,5456388.5441
Other Theft,2021,1,20,22,0,44XX BELMONT AVE,West Point Grey,484945.8799,5457898.5184
Other Theft,2021,11,30,13,30,44XX W 10TH AVE,West Point Grey,484821.6853,5456810.5371
Other Theft,2021,11,29,16,4,44XX W 10TH AVE,West Point Grey,484961.2524,5456806.9794
Other Theft,2021,1,1,11,0,44XX W 13TH AVE,West Point Grey,484930.6688,5456504.1184
Other Theft,2021,3,26,21,12,44XX W 13TH AVE,West Point Grey,484930.6688,5456504.1184
Other Theft,2021,8,31,3,45,44XX W 14TH AVE,West Point Grey,484824.2383,5456406.3214
Other Theft,2021,3,18,2,37,45XX W 14TH AVE,West Point Grey,484675.9359,5456401.0822
Other Theft,2021,4,20,20,47,45XX W 1ST AVE,West Point Grey,484660.7173,5457737.7152
Other Theft,2021,4,20,20,49,45XX W 2ND AVE,West Point Grey,484615.3528,5457643.1699
Other Theft,2021,2,22,15,0,45XX W 2ND AVE,West Point Grey,484637.0395,5457642.3997
Other Theft,2021,8,21,2,38,46XX NW MARINE DR,West Point Grey,484554.0669,5458054.0479
Other Theft,2021,12,18,4,33,46XX W 12TH AVE,West Point Grey,484519.5769,5456614.3393
Other Theft,2021,1,29,23,0,46XX W 4TH AVE,West Point Grey,484383.2215,5457398.3432
Other Theft,2021,5,9,4,53,46XX W 7TH AVE,West Point Grey,484495.2117,5457099.2624
Other Theft,2021,6,4,2,23,46XX W 7TH AVE,West Point Grey,484495.2117,5457099.2624
Other Theft,2021,6,26,19,0,48XX NW MARINE DR,West Point Grey,484016.1425,5458226.0208
Theft from Vehicle,2021,6,20,12,0,14XX TOLMIE ST,West Point Grey,484603.2295,5458037.7341
Theft from Vehicle,2021,9,6,14,0,17XX BLANCA ST,West Point Grey,484372.9346,5457779.6309
Theft from Vehicle,2021,8,5,1,0,18XX TRIMBLE ST,West Point Grey,485034.3457,5457635.2539
Theft from Vehicle,2021,2,3,15,30,19XX HIGHBURY ST,West Point Grey,486346.4424,5457358.3988
Theft from Vehicle,2021,12,9,19,40,20XX ALMA ST,West Point Grey,486484.3496,5457253.6279
Theft from Vehicle,2021,1,13,0,0,22XX GHENT LANE,West Point Grey,486296.5715,5457126.7944
Theft from Vehicle,2021,2,1,0,12,24XX ALMA ST,West Point Grey,486474.7206,5456933.1388
Theft from Vehicle,2021,1,14,2,0,24XX COURTENAY ST,West Point Grey,485368.1811,5456884.6849
Theft from Vehicle,2021,4,7,18,0,25XX WALLACE CRES,West Point Grey,486105.4018,5456802.3834
Theft from Vehicle,2021,5,21,1,0,28XX CAMOSUN ST,West Point Grey,485671.1444,5456581.2526
Theft from Vehicle,2021,2,28,12,0,28XX TRIMBLE ST,West Point Grey,485003.3965,5456516.8462
Theft from Vehicle,2021,12,19,4,35,28XX WALLACE ST,West Point Grey,486111.0032,5456480.5711
Theft from Vehicle,2021,3,18,18,0,29XX HIGHBURY ST,West Point Grey,486331.7938,5456442.3915
Theft from Vehicle,2021,1,17,21,0,29XX SASAMAT ST,West Point Grey,484771.1855,5456428.209
Theft from Vehicle,2021,11,30,12,0,29XX TOLMIE ST,West Point Grey,484562.7357,5456507.59
Theft from Vehicle,2021,6,21,4,41,31XX COURTENAY ST,West Point Grey,485441.8469,5456281.7882
Theft from Vehicle,2021,3,3,18,0,31XX CROWN ST,West Point Grey,485870.4566,5456184.5499
Theft from Vehicle,2021,1,23,10,35,37XX W 10TH AVE,West Point Grey,486434.7209,5456769.3966
Theft from Vehicle,2021,10,4,1,0,37XX W 11TH AVE,West Point Grey,486345.0994,5456667.1747
Theft from Vehicle,2021,2,8,4,4,37XX W 16TH AVE,West Point Grey,486406.9851,5456161.2731
Theft from Vehicle,2021,2,13,23,0,37XX W 8TH AVE,West Point Grey,486361.3784,5456956.5913
Theft from Vehicle,2021,7,27,3,0,37XX W BROADWAY AVE,West Point Grey,486446.5702,5456857.4282
Theft from Vehicle,2021,4,7,1,0,38XX POINT GREY RD,West Point Grey,486167.1085,5457643.0599
Theft from Vehicle,2021,2,10,19,0,38XX W 11TH AVE,West Point Grey,486321.5629,5456658.6458
Theft from Vehicle,2021,6,7,23,0,38XX W 12TH AVE,West Point Grey,486185.474,5456564.5536
Theft from Vehicle,2021,6,25,21,0,38XX W 13TH AVE,West Point Grey,486133.8984,5456472.9805
Theft from Vehicle,2021,6,5,23,0,38XX W 13TH AVE,West Point Grey,486227.5757,5456470.5406
Theft from Vehicle,2021,5,22,19,0,38XX W 14TH AVE,West Point Grey,486237.2791,5456360.2864
Theft from Vehicle,2021,5,21,17,0,38XX W 14TH AVE,West Point Grey,486292.6819,5456358.8167
Theft from Vehicle,2021,6,8,4,27,38XX W 14TH AVE,West Point Grey,486292.6819,5456358.8167
Theft from Vehicle,2021,6,7,22,30,38XX W 14TH AVE,West Point Grey,486301.2055,5456358.5906
Theft from Vehicle,2021,6,16,21,30,38XX W 15TH AVE,West Point Grey,486127.7098,5456261.1333
Theft from Vehicle,2021,5,22,23,0,38XX W 16TH AVE,West Point Grey,486304.743,5456162.9775
Theft from Vehicle,2021,12,17,12,54,38XX W 2ND AVE,West Point Grey,486349.021,5457531.494
Theft from Vehicle,2021,10,11,23,0,38XX W 4TH AVE,West Point Grey,486191.7861,5457351.97
Theft from Vehicle,2021,12,10,20,0,38XX W 8TH AVE,West Point Grey,486167.2843,5456961.0462
Theft from Vehicle,2021,1,24,22,30,38XX W BROADWAY AVE,West Point Grey,486228.5043,5456870.8073
Theft from Vehicle,2021,6,5,23,0,39XX W 11TH AVE,West Point Grey,486058.4229,5456665.1952
Theft from Vehicle,2021,11,20,18,0,39XX W 12TH AVE,West Point Grey,486095.8556,5456575.7915
Theft from Vehicle,2021,11,18,18,45,39XX W 16TH AVE,West Point Grey,486008.1785,5456173.8565
Theft from Vehicle,2021,7,13,12,0,39XX W 4TH AVE,West Point Grey,486123.6922,5457327.6504
Theft from Vehicle,2021,5,2,22,0,39XX W BROADWAY AVE,West Point Grey,486129.7383,5456885.8476
Theft from Vehicle,2021,9,4,21,0,40XX W 11TH AVE,West Point Grey,485800.5213,5456681.6496
Theft from Vehicle,2021,1,28,0,0,40XX W 13TH AVE,West Point Grey,485728.4792,5456474.2896
Theft from Vehicle,2021,6,20,22,0,40XX W 15TH AVE,West Point Grey,485756.589,5456267.5261
Theft from Vehicle,2021,8,2,11,3,40XX W 15TH AVE,West Point Grey,485870.4633,5456264.4214
Theft from Vehicle,2021,8,3,9,56,41XX W 10TH AVE,West Point Grey,485545.3858,5456791.584
Theft from Vehicle,2021,5,3,1,0,41XX W 12TH AVE,West Point Grey,485592.0336,5456589.2359
Theft from Vehicle,2021,4,11,0,0,41XX W 13TH AVE,West Point Grey,485601.6982,5456486.7507
Theft from Vehicle,2021,6,20,20,0,41XX W 16TH AVE,West Point Grey,485497.2796,5456185.1374
Theft from Vehicle,2021,5,22,0,33,41XX W 8TH AVE,West Point Grey,485511.5737,5456974.9615
Theft from Vehicle,2021,8,16,9,0,41XX W 8TH AVE,West Point Grey,485688.261,5456979.5162
Theft from Vehicle,2021,6,29,19,30,42XX W 11TH AVE,West Point Grey,485296.8873,5456685.9151
Theft from Vehicle,2021,8,31,17,0,42XX W 11TH AVE,West Point Grey,485436.2871,5456684.1379
Theft from Vehicle,2021,10,3,23,10,42XX W 12TH AVE,West Point Grey,485387.4035,5456584.8125
Theft from Vehicle,2021,5,21,0,0,42XX W 12TH AVE,West Point Grey,485391.8539,5456593.8536
Theft from Vehicle,2021,11,27,14,0,42XX W 14TH AVE,West Point Grey,485416.0936,5456381.8119
Theft from Vehicle,2021,1,18,1,0,42XX W 16TH AVE,West Point Grey,485374.1067,5456187.6593
Theft from Vehicle,2021,11,4,0,0,42XX W 9TH AVE,West Point Grey,485261.8725,5456886.9287
